Market_Size,Growth_Rate,Product_Type,Price_Range,Geography,Age_Group,Gender,Income_Level,Location,Preferred_Product_Type,Purchase_Channel,Purchase_Frequency,Trending_Ingredients,Key_Players,Avg_Rating,Social_Media_Sentiment,Region,Market_Forecast,Opportunities
220000000,9.09219792586674,Makeup,Premium,Country-Specific,35-44,Male,Low,Urban,Face Creams,E-commerce Platform,2,Turmeric,Brand D,3.1,-0.23,South America,568000000,Sustainability Focus
692000000,10.2383578619281,Skincare,Mid-range,Country-Specific,18-24,Female,Low,Urban,Conditioners,Physical Stores,7,Turmeric,Brand D,4.9,-0.43,Asia,1500000000,New Product Lines
461000000,11.0731800304416,Makeup,Budget,Global,25-34,Female,Middle,Suburban,Soaps,Offline,8,Coconut Oil,Brand B,1.2,-0.09,Europe,895000000,Sustainability Focus
543000000,12.4675674007094,Makeup,Mid-range,Global,35-44,Prefer not to say,Low,Urban,Conditioners,Offline,4,Coconut Oil,Brand B,1.7,-0.63,North America,1688000000,Sustainability Focus
770000000,13.7203224516023,Skincare,Premium,Country-Specific,45-54,Non-binary,Middle,Rural,Conditioners,Offline,7,Neem,Brand D,4.2,0.24,South America,1553000000,Sustainability Focus
448000000,15.2914233575372,Haircare,Budget,Regional,25-34,Non-binary,Low,Rural,Face Creams,E-commerce Platform,4,Turmeric,Brand B,4.7,0.25,South America,1331000000,New Product Lines
915000000,7.88718374635028,Haircare,Mid-range,Regional,25-34,Prefer not to say,High,Suburban,Shampoos,Online,11,Aloe Vera,Brand D,3.1,-0.01,South America,521000000,Expansion in Asia
810000000,6.02039155854194,Haircare,Budget,Global,45-54,Non-binary,Low,Rural,Soaps,Physical Stores,8,Neem,Brand C,4.8,-0.63,South America,986000000,Sustainability Focus
925000000,6.17886569000202,Haircare,Premium,Country-Specific,35-44,Male,Middle,Urban,Conditioners,Offline,5,Coconut Oil,Brand D,4.3,-0.09,Asia,689000000,New Product Lines
992000000,5.25391796699305,Skincare,Mid-range,Global,55+,Prefer not to say,Low,Urban,Hair Oils,E-commerce Platform,6,Rose Water,Brand D,3.8,0.74,North America,1518000000,Expansion in Asia
530000000,16.7891896084478,Makeup,Budget,Country-Specific,45-54,Female,Middle,Rural,Shampoos,Physical Stores,5,Neem,Brand D,4.2,0.78,Asia,1533000000,Expansion in Asia
405000000,19.9562497410886,Makeup,Premium,Regional,18-24,Male,Low,Rural,Conditioners,E-commerce Platform,10,Aloe Vera,Brand D,3.8,-0.42,Asia,1557000000,Sustainability Focus
523000000,5.92376514827239,Haircare,Mid-range,Country-Specific,35-44,Non-binary,Middle,Rural,Soaps,Online,1,Rose Water,Brand D,4.6,0.71,North America,1019000000,Expansion in Asia
759000000,18.7037869940376,Makeup,Budget,Country-Specific,25-34,Female,Middle,Rural,Conditioners,Physical Stores,4,Rose Water,Brand B,2,0.14,South America,1971000000,Sustainability Focus
565000000,13.3246952599914,Haircare,Premium,Country-Specific,18-24,Prefer not to say,High,Urban,Conditioners,Offline,4,Coconut Oil,Brand C,3.1,-0.62,Africa,1436000000,Sustainability Focus
506000000,12.1950490372718,Makeup,Mid-range,Regional,18-24,Prefer not to say,Middle,Urban,Hair Oils,Online,6,Aloe Vera,Brand A,2.7,0.47,North America,1670000000,New Product Lines
499000000,19.2233357041869,Haircare,Budget,Regional,25-34,Male,High,Suburban,Face Creams,E-commerce Platform,11,Rose Water,Brand A,3.3,0.95,Europe,1562000000,Sustainability Focus
578000000,10.7553402252709,Makeup,Mid-range,Global,35-44,Prefer not to say,Low,Suburban,Hair Oils,Online,3,Rose Water,Brand A,4.4,-0.6,Europe,1610000000,New Product Lines
963000000,16.9019582851788,Makeup,Premium,Regional,18-24,Prefer not to say,Low,Suburban,Shampoos,Online,8,Neem,Brand A,2.8,0.42,Europe,1428000000,Sustainability Focus
424000000,13.5928806668932,Skincare,Premium,Country-Specific,25-34,Prefer not to say,Low,Urban,Soaps,Offline,10,Coconut Oil,Brand C,3.5,-0.15,North America,1662000000,New Product Lines
973000000,18.3683353793633,Makeup,Premium,Regional,18-24,Male,Middle,Rural,Shampoos,Physical Stores,9,Rose Water,Brand B,3.5,-0.69,Asia,805000000,New Product Lines
755000000,5.07950812539627,Makeup,Budget,Global,18-24,Prefer not to say,Low,Rural,Soaps,Offline,7,Turmeric,Brand C,4.5,0.64,Asia,1657000000,New Product Lines
370000000,8.7620701698584,Makeup,Premium,Global,55+,Female,Low,Rural,Conditioners,Online,2,Neem,Brand C,1,-0.84,Asia,713000000,Expansion in Asia
268000000,18.6287028451976,Skincare,Mid-range,Regional,35-44,Prefer not to say,High,Urban,Soaps,E-commerce Platform,10,Coconut Oil,Brand D,3.7,-0.55,Asia,556000000,New Product Lines
543000000,16.2862984087517,Makeup,Mid-range,Regional,55+,Male,High,Suburban,Hair Oils,Online,10,Neem,Brand A,2.4,0.48,Africa,1647000000,Expansion in Asia
964000000,19.9376207988685,Haircare,Mid-range,Regional,45-54,Female,Low,Suburban,Face Creams,Physical Stores,7,Neem,Brand B,2.4,0.25,Europe,1562000000,Sustainability Focus
392000000,11.5865330331855,Skincare,Budget,Global,18-24,Female,Middle,Suburban,Face Creams,Physical Stores,4,Coconut Oil,Brand A,3.1,0.42,Africa,1460000000,New Product Lines
488000000,15.7353749196331,Haircare,Mid-range,Global,18-24,Non-binary,High,Urban,Soaps,Physical Stores,11,Neem,Brand D,3,0.98,Asia,1569000000,Sustainability Focus
279000000,19.5317334556475,Makeup,Mid-range,Country-Specific,45-54,Female,Middle,Rural,Conditioners,Physical Stores,7,Aloe Vera,Brand D,2.2,-0.94,Africa,832000000,Expansion in Asia
222000000,14.7186159654571,Skincare,Budget,Country-Specific,25-34,Female,Middle,Suburban,Conditioners,E-commerce Platform,5,Turmeric,Brand D,4.1,0,North America,1551000000,Expansion in Asia
799000000,5.33781889865491,Makeup,Budget,Country-Specific,55+,Male,High,Suburban,Conditioners,Offline,4,Turmeric,Brand B,4.2,-0.15,North America,654000000,Sustainability Focus
481000000,11.5588386343896,Skincare,Budget,Regional,25-34,Male,Low,Suburban,Soaps,Offline,5,Rose Water,Brand D,1.8,0.46,Europe,1172000000,Expansion in Asia
317000000,10.1689144963193,Haircare,Mid-range,Country-Specific,45-54,Prefer not to say,High,Urban,Shampoos,E-commerce Platform,10,Rose Water,Brand A,1.4,-0.37,Europe,1222000000,Sustainability Focus
252000000,13.7053459437108,Makeup,Mid-range,Global,55+,Female,High,Suburban,Face Creams,Offline,11,Neem,Brand D,3.9,-0.44,South America,1585000000,New Product Lines
552000000,13.2381534505295,Skincare,Premium,Country-Specific,18-24,Male,Middle,Rural,Shampoos,E-commerce Platform,1,Neem,Brand B,1.3,-0.15,North America,900000000,New Product Lines
532000000,7.48795154380506,Haircare,Budget,Global,45-54,Male,Low,Urban,Hair Oils,Offline,5,Coconut Oil,Brand D,2.4,0.45,Africa,918000000,Expansion in Asia
803000000,6.93266883218636,Haircare,Budget,Country-Specific,25-34,Non-binary,Low,Suburban,Shampoos,E-commerce Platform,6,Aloe Vera,Brand B,4.3,0.05,Europe,1200000000,Sustainability Focus
717000000,15.5144663450201,Haircare,Premium,Regional,35-44,Prefer not to say,Middle,Suburban,Soaps,Offline,4,Coconut Oil,Brand B,1.2,0.35,Africa,1769000000,Expansion in Asia
637000000,18.465708382801,Haircare,Budget,Global,35-44,Non-binary,Low,Suburban,Shampoos,Offline,4,Rose Water,Brand B,1.5,-0.42,Asia,1791000000,New Product Lines
404000000,16.8525969698811,Skincare,Mid-range,Country-Specific,55+,Non-binary,High,Rural,Shampoos,E-commerce Platform,3,Coconut Oil,Brand A,5,-0.96,South America,1830000000,Sustainability Focus
416000000,19.2519450415085,Makeup,Premium,Regional,25-34,Male,Low,Rural,Hair Oils,Online,10,Aloe Vera,Brand A,1.1,-0.35,Africa,1956000000,Expansion in Asia
225000000,7.45121911998267,Makeup,Premium,Regional,45-54,Prefer not to say,High,Rural,Hair Oils,Online,8,Neem,Brand C,3.5,-0.58,South America,1716000000,Expansion in Asia
810000000,6.93827439776757,Haircare,Premium,Global,25-34,Male,High,Suburban,Conditioners,Physical Stores,5,Aloe Vera,Brand A,1.1,0.4,Asia,919000000,New Product Lines
788000000,7.83843141186022,Skincare,Budget,Regional,18-24,Male,Low,Rural,Soaps,E-commerce Platform,11,Coconut Oil,Brand B,3.4,0.23,Europe,592000000,New Product Lines
114000000,6.20214328064977,Makeup,Budget,Regional,25-34,Female,Low,Rural,Hair Oils,Physical Stores,2,Aloe Vera,Brand B,3.3,0.62,Africa,1258000000,Sustainability Focus
214000000,16.4825011544842,Makeup,Budget,Country-Specific,55+,Non-binary,Middle,Suburban,Conditioners,Offline,4,Turmeric,Brand A,4.9,-0.36,South America,1001000000,New Product Lines
581000000,9.68405161385022,Haircare,Premium,Global,35-44,Prefer not to say,High,Rural,Soaps,Online,11,Turmeric,Brand B,1.4,0.5,Asia,1488000000,Expansion in Asia
591000000,16.1399178050283,Skincare,Mid-range,Country-Specific,55+,Female,Low,Urban,Shampoos,Offline,6,Aloe Vera,Brand C,3.9,-0.56,North America,1105000000,New Product Lines
807000000,9.14931000145499,Haircare,Premium,Country-Specific,18-24,Non-binary,High,Urban,Soaps,E-commerce Platform,10,Rose Water,Brand C,3.7,0.74,South America,1338000000,Expansion in Asia
224000000,12.0819643291375,Skincare,Budget,Global,25-34,Female,High,Rural,Hair Oils,Physical Stores,5,Aloe Vera,Brand B,4.4,-0.38,Asia,959000000,Sustainability Focus
560000000,6.80089170873224,Haircare,Budget,Regional,45-54,Female,Low,Rural,Hair Oils,E-commerce Platform,4,Aloe Vera,Brand B,1.2,0.47,Africa,1212000000,Sustainability Focus
300000000,7.07515333806204,Skincare,Budget,Global,25-34,Female,High,Rural,Hair Oils,Online,11,Coconut Oil,Brand D,1.2,0.39,Asia,1845000000,New Product Lines
418000000,12.4128013004402,Makeup,Premium,Regional,55+,Prefer not to say,Low,Rural,Hair Oils,E-commerce Platform,4,Aloe Vera,Brand A,3.4,-0.58,South America,1427000000,Sustainability Focus
783000000,6.50275391991286,Skincare,Premium,Regional,35-44,Prefer not to say,Middle,Suburban,Soaps,Online,1,Neem,Brand B,4.5,-0.4,Africa,1274000000,Expansion in Asia
740000000,12.2905634487066,Haircare,Premium,Country-Specific,45-54,Male,Low,Urban,Shampoos,Physical Stores,11,Rose Water,Brand A,2.6,0.75,Africa,1136000000,New Product Lines
608000000,19.505371026948,Haircare,Budget,Country-Specific,25-34,Female,Middle,Rural,Soaps,Offline,4,Neem,Brand C,4,-0.7,North America,629000000,New Product Lines
379000000,9.12455972931295,Makeup,Budget,Regional,35-44,Female,Low,Urban,Soaps,Offline,5,Coconut Oil,Brand C,1.7,0.39,Europe,1551000000,Expansion in Asia
770000000,17.9259693362847,Haircare,Mid-range,Country-Specific,25-34,Prefer not to say,High,Urban,Shampoos,Offline,1,Turmeric,Brand B,3.3,-0.87,Africa,1496000000,New Product Lines
456000000,10.7472410846515,Haircare,Mid-range,Country-Specific,18-24,Prefer not to say,Middle,Urban,Shampoos,E-commerce Platform,9,Rose Water,Brand A,1.3,0.98,North America,1452000000,New Product Lines
747000000,11.421331263962,Haircare,Mid-range,Country-Specific,25-34,Female,Low,Rural,Soaps,Physical Stores,6,Rose Water,Brand B,4.1,0.82,North America,1227000000,Expansion in Asia
845000000,6.22320981042174,Makeup,Budget,Global,35-44,Male,Low,Rural,Conditioners,E-commerce Platform,2,Aloe Vera,Brand A,3.2,-0.55,South America,557000000,Sustainability Focus
304000000,8.41150893476724,Makeup,Budget,Country-Specific,25-34,Male,Middle,Suburban,Soaps,Online,7,Coconut Oil,Brand B,3.9,-0.51,South America,540000000,New Product Lines
933000000,13.5231229861314,Makeup,Mid-range,Global,35-44,Female,Middle,Rural,Face Creams,Offline,7,Turmeric,Brand D,4.5,0.98,Africa,1594000000,Sustainability Focus
345000000,13.7036468228684,Haircare,Budget,Global,55+,Male,Low,Urban,Soaps,E-commerce Platform,6,Aloe Vera,Brand B,4.6,0.02,South America,1466000000,Expansion in Asia
387000000,17.1826605088414,Skincare,Mid-range,Regional,18-24,Prefer not to say,High,Rural,Shampoos,E-commerce Platform,3,Neem,Brand B,2.8,-0.97,South America,971000000,New Product Lines
490000000,13.3602789453897,Makeup,Budget,Country-Specific,45-54,Male,High,Rural,Hair Oils,Physical Stores,11,Turmeric,Brand B,3.5,-0.97,Asia,914000000,New Product Lines
429000000,12.8510607648101,Skincare,Budget,Global,18-24,Prefer not to say,Low,Suburban,Soaps,Offline,1,Coconut Oil,Brand D,3.7,0.15,Europe,1493000000,New Product Lines
371000000,9.95187332218839,Makeup,Premium,Country-Specific,45-54,Male,Low,Urban,Hair Oils,Offline,8,Coconut Oil,Brand C,1.4,0.54,Europe,1842000000,Sustainability Focus
468000000,9.0504639552194,Skincare,Mid-range,Country-Specific,35-44,Female,Low,Urban,Conditioners,Online,10,Coconut Oil,Brand A,2.4,-0.42,Africa,924000000,New Product Lines
736000000,19.3562948017881,Makeup,Mid-range,Country-Specific,55+,Non-binary,High,Suburban,Hair Oils,Offline,6,Turmeric,Brand D,4.4,-0.26,South America,1888000000,Expansion in Asia
217000000,6.38043894742208,Haircare,Budget,Global,35-44,Prefer not to say,High,Urban,Hair Oils,E-commerce Platform,6,Aloe Vera,Brand C,4.9,0.98,South America,1623000000,Sustainability Focus
374000000,15.1514974980728,Skincare,Mid-range,Country-Specific,45-54,Prefer not to say,Low,Rural,Soaps,E-commerce Platform,1,Turmeric,Brand A,2.8,0.36,Asia,883000000,New Product Lines
522000000,18.7447905948699,Makeup,Budget,Regional,55+,Prefer not to say,Low,Urban,Hair Oils,Online,1,Rose Water,Brand C,3.3,-0.11,South America,1674000000,Expansion in Asia
507000000,18.1426741004438,Haircare,Mid-range,Regional,35-44,Female,Low,Suburban,Face Creams,Offline,9,Aloe Vera,Brand D,4.3,-0.62,Europe,781000000,New Product Lines
877000000,9.90024733265808,Skincare,Mid-range,Regional,45-54,Female,Low,Suburban,Conditioners,Offline,9,Rose Water,Brand C,1.2,-0.98,South America,1099000000,New Product Lines
122000000,13.2986377631293,Haircare,Premium,Global,25-34,Female,Middle,Rural,Hair Oils,E-commerce Platform,5,Rose Water,Brand C,3.4,-0.4,South America,841000000,Sustainability Focus
250000000,14.9286162504938,Makeup,Mid-range,Global,35-44,Prefer not to say,Low,Rural,Shampoos,E-commerce Platform,7,Aloe Vera,Brand C,1.4,0.91,South America,1957000000,Expansion in Asia
190000000,19.9181234066475,Makeup,Mid-range,Country-Specific,25-34,Female,Middle,Suburban,Hair Oils,E-commerce Platform,7,Rose Water,Brand C,1.7,0.45,South America,879000000,Expansion in Asia
343000000,12.5827858087504,Skincare,Mid-range,Global,18-24,Female,Middle,Rural,Soaps,E-commerce Platform,11,Turmeric,Brand A,2.4,0.66,Africa,1746000000,Expansion in Asia
335000000,11.9408133145766,Haircare,Premium,Country-Specific,25-34,Male,High,Urban,Conditioners,Online,8,Rose Water,Brand C,1.1,0.06,Africa,1216000000,Expansion in Asia
397000000,6.04437099431217,Haircare,Mid-range,Country-Specific,25-34,Non-binary,Low,Rural,Hair Oils,Online,9,Coconut Oil,Brand D,3.4,0.83,Asia,1536000000,New Product Lines
114000000,17.7606387227885,Haircare,Premium,Regional,25-34,Prefer not to say,High,Urban,Hair Oils,E-commerce Platform,3,Turmeric,Brand C,3.8,-0.34,Africa,714000000,Expansion in Asia
357000000,14.6270345229733,Skincare,Mid-range,Global,35-44,Female,Low,Rural,Hair Oils,Physical Stores,6,Coconut Oil,Brand B,4.8,0.68,South America,1370000000,Expansion in Asia
384000000,5.1671227824776,Makeup,Premium,Regional,55+,Non-binary,Low,Suburban,Soaps,Physical Stores,10,Neem,Brand A,4.9,-0.04,South America,1974000000,New Product Lines
753000000,6.63672774341316,Haircare,Mid-range,Country-Specific,25-34,Female,High,Urban,Hair Oils,Online,7,Neem,Brand D,4.6,0.97,Asia,1964000000,New Product Lines
932000000,15.7704989289643,Haircare,Premium,Country-Specific,18-24,Non-binary,High,Suburban,Hair Oils,Physical Stores,10,Turmeric,Brand C,3.2,-0.66,North America,1531000000,New Product Lines
506000000,13.8379988676959,Haircare,Mid-range,Global,35-44,Prefer not to say,Middle,Rural,Shampoos,Offline,5,Aloe Vera,Brand A,2.5,-0.8,Asia,1972000000,New Product Lines
273000000,15.381482143723,Skincare,Premium,Global,55+,Male,Middle,Rural,Hair Oils,Offline,10,Coconut Oil,Brand A,1.4,-0.69,North America,1591000000,New Product Lines
593000000,9.77609099281665,Makeup,Premium,Global,25-34,Non-binary,High,Urban,Face Creams,Online,5,Neem,Brand D,3.9,-0.71,Africa,1381000000,Expansion in Asia
441000000,15.9613140700846,Makeup,Premium,Global,55+,Male,Low,Rural,Conditioners,Online,1,Coconut Oil,Brand C,2,-0.68,Asia,1045000000,Expansion in Asia
565000000,12.5205515327131,Haircare,Mid-range,Global,55+,Prefer not to say,Low,Rural,Shampoos,Online,1,Aloe Vera,Brand D,1.6,-0.72,Asia,1322000000,New Product Lines
319000000,19.8824934343786,Makeup,Premium,Regional,18-24,Non-binary,Low,Rural,Conditioners,E-commerce Platform,5,Turmeric,Brand C,4.4,-0.64,Europe,1355000000,New Product Lines
346000000,13.6038853106337,Skincare,Mid-range,Global,18-24,Non-binary,Low,Suburban,Conditioners,Physical Stores,7,Aloe Vera,Brand D,2.2,-0.86,Africa,1516000000,Sustainability Focus
763000000,7.29709959994512,Makeup,Premium,Country-Specific,45-54,Prefer not to say,Low,Suburban,Face Creams,Offline,5,Coconut Oil,Brand C,1.8,-0.56,Africa,647000000,Sustainability Focus
763000000,19.2312512626186,Makeup,Budget,Regional,25-34,Male,Middle,Rural,Soaps,Offline,6,Turmeric,Brand D,3.6,0.79,Africa,1001000000,Sustainability Focus
580000000,10.734264223378,Makeup,Premium,Global,55+,Non-binary,Low,Urban,Soaps,Offline,5,Neem,Brand B,2.5,-0.9,Africa,893000000,New Product Lines
276000000,10.431799735083,Haircare,Premium,Regional,25-34,Male,Middle,Suburban,Conditioners,E-commerce Platform,1,Neem,Brand B,4.8,0.04,South America,1238000000,New Product Lines
699000000,17.114489509736,Haircare,Budget,Regional,25-34,Prefer not to say,Middle,Suburban,Soaps,Physical Stores,4,Neem,Brand D,1.2,-0.21,Asia,635000000,New Product Lines
523000000,17.8608744856219,Skincare,Budget,Global,35-44,Male,Middle,Urban,Conditioners,Online,11,Rose Water,Brand A,2,-0.39,North America,666000000,Sustainability Focus
272000000,5.5362179272937,Haircare,Premium,Global,18-24,Non-binary,Low,Rural,Conditioners,E-commerce Platform,6,Coconut Oil,Brand D,3.8,0.19,South America,1315000000,Expansion in Asia
249000000,17.5451052116186,Makeup,Mid-range,Country-Specific,35-44,Male,Low,Urban,Hair Oils,Physical Stores,6,Neem,Brand A,1.1,0.35,North America,1524000000,Sustainability Focus
583000000,18.9495670719036,Haircare,Budget,Country-Specific,45-54,Non-binary,Middle,Suburban,Face Creams,Online,3,Rose Water,Brand C,3.7,0.13,North America,1221000000,Sustainability Focus
407000000,6.73847932159982,Makeup,Mid-range,Country-Specific,55+,Non-binary,High,Suburban,Face Creams,Online,9,Coconut Oil,Brand A,3.5,-0.25,Asia,1940000000,Sustainability Focus
616000000,7.38253845205022,Haircare,Mid-range,Country-Specific,18-24,Male,High,Urban,Soaps,E-commerce Platform,5,Coconut Oil,Brand A,3.9,0.34,Asia,1116000000,Sustainability Focus
140000000,18.9912713967961,Makeup,Mid-range,Country-Specific,45-54,Prefer not to say,High,Rural,Conditioners,Online,5,Aloe Vera,Brand A,4.4,-0.29,Asia,1809000000,New Product Lines
935000000,8.12433698814822,Makeup,Premium,Regional,25-34,Non-binary,Low,Urban,Soaps,Offline,5,Aloe Vera,Brand C,2.1,-0.11,North America,1597000000,Sustainability Focus
421000000,5.02779050769872,Skincare,Mid-range,Regional,35-44,Male,Middle,Rural,Shampoos,Physical Stores,4,Aloe Vera,Brand B,4.1,-0.77,Asia,1585000000,Sustainability Focus
235000000,17.5767421836109,Skincare,Premium,Regional,45-54,Male,High,Urban,Shampoos,Offline,4,Coconut Oil,Brand C,4.2,0.21,North America,689000000,Sustainability Focus
194000000,10.4913561762922,Makeup,Mid-range,Regional,25-34,Female,Low,Suburban,Face Creams,Online,5,Turmeric,Brand A,3.7,0.47,South America,1501000000,Sustainability Focus
550000000,7.58314080046664,Skincare,Mid-range,Global,25-34,Prefer not to say,Middle,Urban,Conditioners,Physical Stores,4,Turmeric,Brand B,4.2,-0.91,North America,1771000000,Sustainability Focus
258000000,16.7590461677643,Haircare,Mid-range,Global,45-54,Male,High,Rural,Soaps,Offline,6,Coconut Oil,Brand A,1.3,0.88,South America,688000000,New Product Lines
391000000,13.7215727606838,Makeup,Premium,Regional,45-54,Male,Middle,Rural,Shampoos,Online,9,Neem,Brand B,1.5,0.59,South America,836000000,New Product Lines
757000000,6.90605630169423,Haircare,Budget,Global,55+,Female,High,Rural,Hair Oils,Online,8,Coconut Oil,Brand C,1.8,0.1,Africa,1555000000,Sustainability Focus
810000000,16.6336743392876,Haircare,Premium,Global,35-44,Female,High,Rural,Soaps,Physical Stores,8,Neem,Brand D,4.2,0.51,Africa,1234000000,Expansion in Asia
645000000,6.58950959021727,Skincare,Budget,Global,25-34,Prefer not to say,Low,Suburban,Hair Oils,Offline,8,Neem,Brand C,1.7,0.29,North America,779000000,Sustainability Focus
347000000,19.9525585096502,Makeup,Budget,Country-Specific,35-44,Female,High,Urban,Hair Oils,Physical Stores,9,Neem,Brand A,3.2,-0.71,North America,830000000,New Product Lines
